Gene symbol	Mutant.309.R1.drna.DVBt.DVB.S7.R1.001	Mutant.309.R2.drna.DVBt.DVB.S8.R1.001	Mutant.309.R3.drna.DVBt.DVB.S9.R1.001	WT.39.R1.drna.DVBt.DVB.S13.R1.001	WT.39.R2.drna.DVBt.DVB.S14.R1.001	WT.39.R3.drna.DVBt.DVB.S15.R1.001
DDX11L1	2	7	0	21	21	25
WASH7P	35	27	52	57	38	43
MIR6859-1	4	5	5	3	3	2
MIR1302-2HG	1	4	8	14	21	3
MIR1302-2	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
AL627309.1	1	2	2	6	3	7
AL627309.3	0	0	0	0	0	0
CICP27	3	1	1	2	0	0
AL627309.6	33	16	32	33	15	12
AL627309.7	9	7	12	27	7	13
AL627309.2	0	0	2	1	0	1
AL627309.5	7	8	7	5	5	6
RNU6-1100P	0	0	0	0	0	2
AL627309.4	0	0	0	0	0	0
FO538757.1	2	4	4	14	16	11
WASH9P	71	71	88	108	174	103
MIR6859-2	0	0	0	0	0	0
AP006222.1	125	139	115	311	349	403
RPL23AP24	4	3	0	4	1	1
AL732372.1	3	0	0	3	0	1
AL732372.2	24	20	21	37	16	24
WBP1LP7	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0
CICP7	0	1	2	1	0	1
AL732372.3	4	4	8	9	12	4
RF00026	2	4	4	5	3	1
AL669831.3	9	4	2	5	3	3
AC114498.1	0	0	0	0	0	0
MTND1P23	4216	3713	4131	12982	14494	8311
MTND2P28	9152	8262	8930	19618	20047	14311
MTCO1P12	57152	64394	65916	131137	147713	114141
MIR6723	0	0	0	0	0	0
MTCO2P12	10778	9987	11617	17953	18261	12507
MTATP8P1	73	85	59	145	245	138
MTATP6P1	37642	36728	38122	78751	82473	55097
MTCO3P12	11885	12430	13267	28696	28938	21674
WBP1LP6	1	1	0	0	0	0
OR4F16	0	0	0	0	0	0
CICP3	5	2	0	6	2	3
AL669831.1	83	71	95	65	57	51
RNU6-1199P	0	0	0	0	0	0
AL669831.2	0	0	1	0	0	0
AL669831.5	71	86	88	98	73	50
AL669831.7	0	0	0	0	0	0
AL669831.4	6	7	16	13	8	11
FAM87B	5	12	5	0	2	4
LINC01128	859	771	1017	1567	1765	1861
LINC00115	12	14	15	22	32	20
FAM41C	2	0	1	3	3	4
TUBB8P11	0	1	1	4	3	5
AL669831.6	0	0	1	0	0	0
AL645608.6	17	11	18	30	22	23
AL645608.2	63	49	89	125	125	188
AL645608.4	0	0	0	0	0	0
LINC02593	389	446	566	541	514	477
SAMD11	1579	1485	1957	899	1004	1093
NOC2L	1088	1173	1409	1360	1483	1581
KLHL17	261	207	329	442	426	419
PLEKHN1	3	1	1	5	1	5
PERM1	1	0	2	4	2	6
AL645608.7	15	10	20	46	81	59
HES4	73	112	158	235	377	525
ISG15	114	121	125	100	102	78
AL645608.3	0	0	0	0	2	0
AL645608.1	9	3	12	24	15	5
AGRN	6686	6234	8053	5142	5152	4563
AL645608.5	0	0	0	0	0	0
AL390719.1	54	83	197	458	542	451
AL645608.8	8	5	13	43	39	48
RNF223	0	0	1	1	0	0
C1orf159	171	164	228	196	205	218
AL390719.3	6	7	7	3	0	2
LINC01342	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0
MIR429	0	0	0	0	0	0
AL390719.2	0	0	0	0	0	0
TTLL10-AS1	0	1	3	0	0	0
TTLL10	4	2	8	0	0	0
TNFRSF18	1	0	2	1	0	5
TNFRSF4	0	0	1	1	0	0
SDF4	5350	5449	5498	1818	1651	1449
B3GALT6	1180	1235	1323	944	1118	1173
C1QTNF12	10	13	13	13	6	10
AL162741.1	3	1	2	6	6	4
UBE2J2	903	952	1169	709	906	1021
LINC01786	49	30	39	19	10	13
SCNN1D	252	223	240	135	90	80
ACAP3	882	964	1406	2474	2913	3381
MIR6726	0	0	0	0	0	0
PUSL1	105	125	136	119	144	196
INTS11	1725	1711	1958	1318	1178	1261
MIR6727	0	0	0	0	0	0
AL139287.1	78	77	91	100	93	77
CPTP	496	529	691	407	708	701
TAS1R3	33	23	54	21	22	35
DVL1	1293	1319	1728	1494	1668	2248
MIR6808	0	0	0	0	0	0
MXRA8	1361	1413	1805	436	324	106
AURKAIP1	680	942	983	697	920	1124
NDUFB4P8	0	1	0	2	1	2
CCNL2	7684	6948	6491	4322	3698	2671
MRPL20-AS1	547	590	576	374	433	384
MRPL20	1078	1265	1243	959	1106	1028
RN7SL657P	0	0	0	0	0	0
AL391244.2	86	81	100	108	125	92
ANKRD65	31	24	29	54	33	20
