"logFC","logCPM","LR","PValue","FDR","transcript"
15.5860673133485,5.87268536216798,578.375339829791,8.46210150593346e-128,1.89144892860625e-123,"CNTN4"
10.7647741972953,6.59620522917234,556.478594145922,4.90509592017632e-123,5.48193520038906e-119,"CHL1"
13.5050712291821,5.6719208061934,551.974836302612,4.6814929625423e-122,3.48802435662485e-118,"COL22A1"
15.1114941112144,5.39890593984966,539.899955766498,1.98242572195276e-119,1.1077794934272e-115,"RPS4Y1"
10.3892636900564,5.47983161580184,489.282350911172,2.04157159463512e-108,9.12664165665683e-105,"DDX3Y"
14.4063466412767,4.69553979339024,483.00900969351,4.73144830278239e-107,1.76262220772987e-103,"TXLNGY"
12.2822356108241,4.45413037171374,453.368955918649,1.33334814065221e-100,4.25757109140832e-97,"KDM5D"
13.9210508469124,4.21208132268234,444.135442122437,1.36277476087425e-98,3.80759268188267e-95,"FAM135B"
13.5850020664943,3.87771518633886,417.402812152551,8.96931016815234e-93,2.22757800976157e-89,"TTTY15"
13.3896022691745,3.68348740057159,401.945634269106,2.07681144301168e-89,4.64208893741972e-86,"UTY"
7.86876196299451,6.11710767878793,397.116218206946,2.33723999208933e-88,4.74927166392551e-85,"NNAT"
8.34751517892007,5.04051638258242,395.557559959922,5.10518351504913e-88,9.50925516069818e-85,"USP9Y"
10.0186825755862,3.49667990761451,363.086143667351,5.9922911300569e-81,1.03030531799255e-77,"EIF1AY"
7.47709829278201,4.44178221858478,334.942278715257,8.0607655295969e-75,1.28695879369679e-71,"PDGFRA"
7.14105453917995,4.91283294582514,329.805668547249,1.05952947935298e-73,1.57884019483318e-70,"MEG3"
9.92919740136504,2.90315739891707,323.078798963768,3.09230295897985e-72,4.31994723369485e-69,"ZFY"
7.50093120746197,4.01036304537538,321.907887732579,5.56321423402447e-72,7.31464497405383e-69,"CNMD"
12.3479244262121,2.65152713781598,321.063190203554,8.49799708399458e-72,1.05526239345248e-68,"DPP6"
6.86037231376953,4.68490553188317,308.852007113323,3.88426353405999e-69,4.56952939543731e-66,"FP671120.1"
6.50955508591437,5.04565471728318,294.329869290511,5.66422684491317e-66,6.33033992187496e-63,"FP236383.1"
10.0568318672215,2.25074897447631,280.306750322746,6.43798643627763e-63,6.85247013446084e-60,"AJAP1"
9.1758401321162,2.1630351194611,266.417466278955,6.85055668129322e-60,6.96016558819391e-57,"NLRP2"
7.32594664769925,2.58853303495083,255.923140951597,1.32800779222923e-57,1.2905926161699e-54,"PAX8-AS1"
9.71974150736095,1.92089595730774,255.5932284166,1.56717746465603e-57,1.45956461208298e-54,"SLITRK2"
6.66748219215035,3.09794337052693,254.426327547102,2.81509778457863e-57,2.51692262723606e-54,"GRHL3"
6.46251064271162,3.05962504577949,244.656856437699,3.79614399048497e-55,3.26351578751231e-52,"THBD"
5.46707935877069,6.52849515620131,234.697294178869,5.63618181036316e-53,4.66592354908287e-50,"ANGPTL1"
5.56775564629536,4.83680694992864,231.398310715936,2.95391686013943e-52,2.35806963063702e-49,"DAAM2"
8.67915242724746,1.68123675972532,230.600065904179,4.41040979650696e-52,3.39936137143185e-49,"CNTN6"
-15.6129183436634,7.48302320123097,221.745692613387,3.76365841996967e-50,2.80417643343873e-47,"XIST"
5.57098299738263,3.68870508142716,216.142764725583,6.27737582749962e-49,4.52619046762166e-46,"HOXB6"
5.252610496502,5.63720900960006,216.024275240063,6.66232463784655e-49,4.65363375953582e-46,"THSD4"
5.1725002955284,6.60118089022905,213.946637623892,1.89172728864571e-48,1.28132995017603e-45,"SLCO1C1"
5.20321519349072,5.42040472642723,211.548937607828,6.30866252352257e-48,4.14738896252284e-45,"DMRTA1"
7.24179210928402,1.68561649965462,209.0563541673,2.20670732312364e-47,1.40926634532742e-44,"FOXL2NB"
5.96612755403186,2.59206648839951,208.586823143474,2.79373871257584e-47,1.73460132509709e-44,"DUSP27"
5.0764772079634,6.10612719632936,205.765549272611,1.15278108951653e-46,6.96404403050633e-44,"PROM1"
5.07196369092285,6.12829152818701,205.525823725071,1.3003291965979e-46,7.64867321114639e-44,"TGFBR2"
5.0500916760151,4.74478522070447,196.98848610535,9.48497121197992e-45,5.43610452641475e-42,"TBX18"
5.99863284950472,2.14943789624393,194.959974788454,2.62873597854348e-44,1.4689376648101e-41,"TBX1"
5.28984166831738,3.23957944032221,192.508288210588,9.01247960664141e-44,4.91334010164997e-41,"LINC01239"
5.82192259836153,2.18337436351876,189.484274439758,4.12006033280058e-43,2.19265687044663e-40,"ELF5"
4.890907839813,5.12149291705406,189.012908727321,5.22149207332563e-43,2.71420443774359e-40,"RIPPLY3"
4.81490377582459,6.59125180199265,188.870227070012,5.60970264670703e-43,2.84972894452717e-40,"ABCA8"
4.9566229897187,4.33336661554932,187.724230471684,9.97924642362701e-43,4.95680257913135e-40,"SLC12A1"
4.88710914946882,4.41797838883238,184.139102206267,6.04981002180696e-42,2.93968160016151e-39,"TOP2A"
5.22291874452908,2.95595120275206,183.493147536656,8.37074305607925e-42,3.98091167637199e-39,"CHST9"
6.21469032058503,1.64838094917631,182.399567232306,1.45049475633211e-41,6.75447058198654e-39,"HOXB-AS3"
4.66906686367859,8.38888203195345,180.691385801281,3.42345254551217e-41,1.56165329178139e-38,"RFX4"
6.81529703958829,1.2817956302858,180.141987200058,4.51251665007909e-41,2.01727544325136e-38,"SLC15A1"
4.6537152481396,8.42755143859093,179.641577694281,5.80335140691619e-41,2.54346099308609e-38,"SMOC1"
4.71857046128656,5.17697002870265,177.921340742965,1.37813016709051e-40,5.92383951823214e-38,"S1PR3"
7.44924744243126,0.993178586264117,175.763778344819,4.07773635310777e-40,1.71972760310688e-37,"AC096921.2"
5.08280496886035,2.87349077437093,174.768416304238,6.72633961482036e-40,2.78420635315675e-37,"HOXA9"
5.87747523407695,1.63494241282715,172.002437872681,2.70289201459944e-39,1.09845531473321e-36,"SLITRK4"
4.52988497026054,6.46090599458079,169.163093486492,1.12708792714997e-38,4.49869095493859e-36,"STC2"
5.58149646610416,1.83115736921927,168.942097661624,1.25958371323289e-38,4.93933599266344e-36,"GCNT3"
4.63956314161821,4.44529425255792,168.797541659998,1.35456770402623e-38,5.22022367593005e-36,"SOX1"
4.53733272312679,5.87829884822601,168.401181991661,1.65338400774967e-38,6.19028837793446e-36,"SLC7A2"
4.76575860171543,3.57887826580821,168.391237884941,1.6616736877061e-38,6.19028837793446e-36,"GPR50"
4.4783974508826,7.39023538966913,166.857939510563,3.59302747978927e-38,1.31657951193852e-35,"CORIN"
4.58089850058023,4.60020218819132,166.015528980789,5.48875587807311e-38,1.97878502236597e-35,"FREM2"
4.55933690994425,4.82965348549088,165.942389300366,5.69443398510619e-38,2.02034902277926e-35,"FGFR2"
