Sample_ID	Mutant.309.R1.drna.DVBt.DVB.S7.R1.001	Mutant.309.R2.drna.DVBt.DVB.S8.R1.001	Mutant.309.R3.drna.DVBt.DVB.S9.R1.001	WT.39.R1.drna.DVBt.DVB.S13.R1.001	WT.39.R2.drna.DVBt.DVB.S14.R1.001	WT.39.R3.drna.DVBt.DVB.S15.R1.001	GBA.KTI6.1.dRNA.DVBt.DVB.S10.R1.001.bam	GBA.KTI6.2.dRNA.DVBt.DVB.S11.R1.001.bam	GBA.KTI6.3.dRNA.DVBt.DVB.S12.R1.001.bam	WT.56.1.dRNA.DVBt.DVB.S13.R1.001.bam	WT.56.2.dRNA.DVBt.DVB.S14.R1.001.bam	WT.56.3.dRNA.DVBt.DVB.S15.R1.001.bam
A1BG	33.0	36.0	51.0	62.0	65.0	61.0	37.0	37.0	45.0	68.0	77.0	62.0
A1BG-AS1	82.0	71.0	94.0	50.0	68.0	96.0	104.0	77.0	50.0	72.0	78.0	65.0
A1CF	5.0	2.0	3.0	3.0	4.0	2.0	6.0	5.0	3.0	2.0	2.0	1.0
A2M	17.0	27.0	101.0	427.0	259.0	6.0	131.0	78.0	86.0	533.0	2191.0	2100.0
A2M-AS1	1.0	2.0	3.0	41.0	56.0	61.0	41.0	53.0	36.0	89.0	73.0	110.0
A2ML1	22.0	22.0	30.0	1.0	6.0	2.0	48.0	40.0	36.0	7.0	3.0	9.0
A2ML1-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2ML1-AS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2MP1	18.0	4.0	7.0	21.0	8.0	3.0	16.0	5.0	15.0	19.0	38.0	36.0
A3GALT2	1.0	2.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0
A4GALT	54.0	62.0	161.0	225.0	154.0	69.0	57.0	63.0	75.0	175.0	511.0	286.0
A4GNT	16.0	21.0	14.0	4.0	2.0	2.0	7.0	3.0	2.0	8.0	2.0	3.0
AA06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAAS	1331.0	1381.0	1363.0	994.0	942.0	825.0	1118.0	962.0	1174.0	1105.0	871.0	847.0
AACS	524.0	536.0	692.0	620.0	666.0	953.0	488.0	454.0	444.0	668.0	558.0	607.0
AACSP1	0.0	0.0	3.0	3.0	3.0	0.0	1.0	1.0	2.0	3.0	2.0	4.0
AADAC	5.0	2.0	4.0	19.0	11.0	1.0	3.0	3.0	1.0	3.0	8.0	2.0
AADACL2	3.0	4.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
AADACL2-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACP1	0.0	2.0	0.0	1.0	3.0	0.0	1.0	3.0	2.0	0.0	3.0	1.0
AADAT	789.0	873.0	948.0	1006.0	1084.0	1002.0	504.0	587.0	460.0	639.0	620.0	670.0
AAGAB	3084.0	3382.0	3345.0	2673.0	2904.0	2733.0	2577.0	2316.0	2032.0	2017.0	2078.0	2339.0
AAK1	3172.0	3085.0	3796.0	5845.0	5921.0	5853.0	3142.0	2678.0	2709.0	4373.0	4005.0	3794.0
AAMDC	214.0	260.0	233.0	70.0	47.0	22.0	140.0	139.0	126.0	93.0	81.0	107.0
AAMP	2027.0	2363.0	2308.0	1765.0	2029.0	2273.0	2373.0	2309.0	2126.0	2196.0	2102.0	2301.0
AANAT	1.0	3.0	0.0	1.0	5.0	0.0	2.0	2.0	4.0	2.0	1.0	5.0
AAR2	956.0	992.0	1109.0	972.0	1221.0	1203.0	1194.0	1149.0	1031.0	1100.0	1020.0	1195.0
AARD	29.0	21.0	21.0	66.0	22.0	13.0	48.0	44.0	34.0	52.0	27.0	56.0
AARS2	575.0	510.0	727.0	560.0	548.0	726.0	646.0	576.0	491.0	627.0	451.0	572.0
AARSD1	20.0	40.0	20.0	41.0	28.0	22.0	19.0	12.0	23.0	21.0	15.0	16.0
AASDH	757.0	700.0	795.0	407.0	458.0	429.0	695.0	601.0	439.0	456.0	418.0	455.0
AASDHPPT	3068.0	3571.0	4276.0	5948.0	7448.0	7453.0	3229.0	3235.0	2813.0	4568.0	4749.0	5001.0
AASS	1229.0	1125.0	1016.0	221.0	100.0	50.0	1211.0	917.0	1032.0	750.0	364.0	521.0
AATBC	15.0	23.0	23.0	18.0	14.0	21.0	23.0	22.0	15.0	25.0	15.0	18.0
AATF	646.0	664.0	748.0	678.0	812.0	789.0	562.0	528.0	463.0	714.0	689.0	891.0
AATK	397.0	382.0	663.0	602.0	687.0	931.0	524.0	556.0	511.0	875.0	813.0	873.0
ABALON	6.0	5.0	21.0	36.0	34.0	48.0	14.0	13.0	10.0	33.0	49.0	22.0
ABAT	5609.0	6265.0	6290.0	3472.0	2582.0	2705.0	5600.0	5205.0	3939.0	3843.0	2745.0	4061.0
ABBA01000935.2	5.0	4.0	4.0	3.0	2.0	3.0	3.0	1.0	4.0	5.0	1.0	5.0
ABBA01006766.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA1	1743.0	1207.0	1070.0	583.0	504.0	341.0	1444.0	1341.0	1289.0	1012.0	1313.0	1218.0
ABCA10	67.0	91.0	66.0	63.0	59.0	37.0	41.0	36.0	43.0	59.0	45.0	36.0
ABCA11P	79.0	76.0	76.0	47.0	42.0	46.0	66.0	45.0	51.0	30.0	33.0	37.0
ABCA12	5.0	4.0	9.0	22.0	44.0	28.0	9.0	10.0	6.0	15.0	13.0	19.0
ABCA13	10.0	12.0	16.0	36.0	37.0	32.0	85.0	104.0	60.0	39.0	69.0	42.0
ABCA17P	28.0	27.0	51.0	130.0	111.0	150.0	30.0	28.0	28.0	62.0	76.0	64.0
ABCA2	5809.0	4618.0	5740.0	2599.0	2415.0	2894.0	4793.0	3964.0	2841.0	4951.0	3017.0	3412.0
ABCA3	2961.0	2912.0	3854.0	4862.0	5647.0	7717.0	3610.0	3801.0	3209.0	5292.0	5288.0	6771.0
ABCA4	3.0	2.0	2.0	3.0	1.0	1.0	3.0	1.0	4.0	4.0	3.0	4.0
ABCA5	2284.0	2840.0	2583.0	1748.0	1739.0	1090.0	2040.0	1669.0	1546.0	1827.0	1189.0	1367.0
ABCA6	16.0	18.0	13.0	12.0	14.0	5.0	19.0	9.0	13.0	15.0	11.0	9.0
ABCA7	931.0	813.0	1072.0	1054.0	566.0	474.0	801.0	694.0	559.0	849.0	628.0	511.0
ABCA8	9603.0	9310.0	7287.0	670.0	273.0	23.0	6638.0	5426.0	4188.0	1726.0	862.0	1702.0
ABCA9	119.0	137.0	154.0	39.0	37.0	21.0	91.0	65.0	54.0	24.0	12.0	26.0
ABCA9-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ABCB1	96.0	49.0	42.0	826.0	564.0	223.0	141.0	373.0	222.0	548.0	892.0	1327.0
ABCB10	612.0	642.0	646.0	653.0	742.0	616.0	655.0	549.0	470.0	615.0	550.0	642.0
ABCB10P1	0.0	0.0	1.0	1.0	4.0	0.0	2.0	6.0	6.0	2.0	7.0	6.0
ABCB10P3	12.0	13.0	24.0	10.0	25.0	20.0	17.0	21.0	23.0	25.0	26.0	30.0
ABCB10P4	0.0	2.0	1.0	0.0	1.0	0.0	12.0	18.0	20.0	15.0	19.0	30.0
ABCB11	0.0	0.0	1.0	1.0	4.0	3.0	3.0	0.0	0.0	13.0	1.0	3.0
ABCB4	36.0	41.0	41.0	108.0	94.0	33.0	63.0	78.0	46.0	112.0	110.0	97.0
ABCB5	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ABCB6	102.0	113.0	154.0	153.0	108.0	111.0	99.0	111.0	118.0	145.0	111.0	130.0
ABCB7	623.0	702.0	691.0	393.0	437.0	377.0	589.0	456.0	389.0	464.0	351.0	391.0
ABCB8	897.0	820.0	993.0	574.0	576.0	646.0	963.0	860.0	845.0	709.0	667.0	886.0
ABCB9	113.0	145.0	201.0	443.0	563.0	676.0	167.0	236.0	202.0	442.0	495.0	437.0
ABCC1	1668.0	1411.0	1636.0	1005.0	1059.0	985.0	1729.0	1433.0	1265.0	1474.0	1398.0	1365.0
ABCC10	939.0	831.0	1015.0	625.0	598.0	592.0	899.0	904.0	750.0	715.0	600.0	588.0
ABCC11	17.0	16.0	22.0	21.0	18.0	26.0	19.0	9.0	12.0	19.0	10.0	18.0
ABCC12	0.0	2.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
ABCC13	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC2	17.0	10.0	10.0	9.0	8.0	3.0	11.0	11.0	25.0	8.0	11.0	7.0
ABCC3	36.0	34.0	26.0	10.0	9.0	3.0	7.0	14.0	13.0	2.0	15.0	12.0
ABCC4	115.0	187.0	284.0	644.0	705.0	817.0	190.0	252.0	252.0	350.0	437.0	604.0
ABCC5	1412.0	1204.0	1506.0	2976.0	3004.0	2354.0	1869.0	1434.0	1775.0	2988.0	2318.0	1710.0
ABCC5-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC6	40.0	28.0	44.0	35.0	33.0	21.0	114.0	85.0	65.0	60.0	56.0	44.0
ABCC6P1	24.0	15.0	22.0	12.0	8.0	0.0	36.0	41.0	26.0	30.0	22.0	25.0
ABCC6P2	14.0	7.0	14.0	5.0	0.0	0.0	16.0	10.0	5.0	7.0	9.0	6.0
ABCC8	48.0	37.0	64.0	529.0	538.0	581.0	41.0	71.0	102.0	411.0	311.0	242.0
ABCC9	13.0	14.0	19.0	27.0	13.0	5.0	20.0	32.0	22.0	36.0	56.0	94.0
ABCD1	709.0	586.0	697.0	519.0	574.0	758.0	726.0	627.0	533.0	529.0	666.0	657.0
ABCD1P2	0.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	2.0	1.0	2.0	2.0
ABCD1P3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1P4	1.0	0.0	2.0	1.0	4.0	0.0	1.0	1.0	0.0	2.0	0.0	1.0
ABCD1P5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ABCD2	113.0	111.0	100.0	284.0	288.0	243.0	199.0	154.0	114.0	291.0	331.0	256.0
ABCD3	1630.0	1858.0	1715.0	1720.0	1808.0	1849.0	2023.0	1779.0	1649.0	1538.0	1621.0	2009.0
